label,videoid,split
laying bricks,tJqYfKFXXD,train
laying bricks,AXBJqsCnQB,train
laying bricks,jYZUcpNXay,train
laying bricks,tNoAoggfue,train
laying bricks,MTeXAKIObd,train
laying bricks,dgoiJueNsu,train
laying bricks,zFbphBsSyR,train
laying bricks,TrOUEUktIv,train
laying bricks,SNspqjsNbe,train
laying bricks,eeYmrIzMGV,train
laying bricks,EhVzTCPQUQ,train
laying bricks,ZuBRXITxKD,train
laying bricks,bIjtMEUPzb,train
laying bricks,bWczWehcds,train
laying bricks,uewcppWEYY,train
laying bricks,nYoRHLFUmt,train
laying bricks,KddQLfOGGM,train
laying bricks,VODDLuwSow,train
laying bricks,GRxaJOCBlj,train
laying bricks,pJiTcfWkXY,train
laying bricks,PRegSSXKef,train
laying bricks,zajGJlpEnv,train
laying bricks,riYURYSskD,train
laying bricks,fsictRYtsS,train
laying bricks,eBjPGXdTBR,train
laying bricks,rEmKNpVczj,train
laying bricks,GXJcOVayff,train
laying bricks,bQpwavjZtV,train
laying bricks,tWLCnHNwrE,train
laying bricks,EAOlyAUBJG,train
laying bricks,AetgChAUAI,train
laying bricks,HqmuDBdjRD,train
laying bricks,xIIpaveGpN,train
laying bricks,GCbrgyfFWL,train
laying bricks,FHYCdwBmsb,train
laying bricks,oSLJUnUiuI,train
laying bricks,UnqJAVImdb,train
laying bricks,BmZgzAGESf,train
laying bricks,TybIiUfVlB,train
laying bricks,roUvUUyaWU,train
laying bricks,aVFCLIwsdW,train
laying bricks,cLzmkZJRaT,train
laying bricks,DHJqQvlmSl,train
laying bricks,AlAvSLOYrI,train
laying bricks,WbwjaIiPVg,train
laying bricks,gamTWWyhVW,train
laying bricks,GtGTNfQkVz,train
laying bricks,UqankXGebQ,train
laying bricks,sqWuNqiCUD,train
laying bricks,UFKLSDWAsI,train
laying bricks,GgkzcGVswO,train
laying bricks,CDVUwbvebX,train
laying bricks,KPbRwNDulH,train
laying bricks,VExeGtxxna,train
laying bricks,ZWvescMaIN,train
laying bricks,ZcrRvHyVtt,train
laying bricks,dKvTUUSIdZ,train
laying bricks,gNSpxwvFnZ,train
laying bricks,wwgSgbTbtH,train
laying bricks,qvDtfizXgw,train
laying bricks,EGvmKQoiYQ,train
laying bricks,KcOiqVXvpG,train
laying bricks,FbWJyjaBuv,train
laying bricks,OFINgeZcRW,train
laying bricks,kvpkNNOcNr,train
laying bricks,IAIYThpmJJ,train
laying bricks,IYmsmsBOwE,train
laying bricks,XfHZNlFTSi,train
laying bricks,oAylXnOxqN,train
laying bricks,rFYMkRkGdR,train
laying bricks,htfWsVeORB,train
laying bricks,IByizNjgGQ,train
laying bricks,XqjYKnFCZs,train
laying bricks,lNoomHpJJn,train
laying bricks,KmnMQnimTL,train
laying bricks,PsbkZWIobI,train
laying bricks,BizqQSYvqk,train
laying bricks,uyCWGRXYLh,train
laying bricks,PyijapnLeB,train
laying bricks,zwPpLFSLUL,train
laying bricks,BGdGoWQwnw,train
